"Embed Plus for YouTube Gallery, Livestream and Lazy Loading with Facades",https://ru.wordpress.org/plugins/youtube-embed-plus/,"A multi-featured plugin to embed YouTube in WordPress. Embed a video, YouTube channel gallery, playlist, or YouTube livestream. Defer JavaScript too!",100 000+ активных установок,6.8.2
GiveWP — Платформа для пожертвований и фандрайзинга,https://ru.wordpress.org/plugins/give/,"Принимайте пожертвования и начинайте сбор средств с помощью GiveWP, плагина для пожертвований WordPress с самым высоким рейтингом для онлайн пожертвований.",100 000+ активных установок,6.8.2
"Feeds for YouTube (плагин для видео, канала и галереи YouTube)",https://ru.wordpress.org/plugins/feeds-for-youtube/,Плагин Feeds for YouTube позволяет отображать настраиваемые ленты YouTube с любого канала YouTube.,100 000+ активных установок,6.8.2
Schema & Structured Data for WP & AMP,https://ru.wordpress.org/plugins/schema-and-structured-data-for-wp/,Schema & Structured Data adds Google Rich Snippets markup according to Schema.org guidelines to structure your site for SEO.,100 000+ активных установок,6.8.2
LuckyWP Table of Contents,https://ru.wordpress.org/plugins/luckywp-table-of-contents/,"Создаёт SEO-дружественное содержание для ваших постов/страниц. Работает автоматически или вручную (через шорткод, Gutenberg-блок или виджет).",100 000+ активных установок,6.7.3
Pods — Custom Content Types and Fields,https://ru.wordpress.org/plugins/pods/,"Pods — это платформа для создания, управления и развертывания настраиваемых типов контента и полей для любого проекта.",100 000+ активных установок,6.8.2
"EmbedPress – PDF Embedder, Embed PDF 3D FlipBook, Social Feeds, Google Docs, Vimeo, Wistia, YouTube Videos, Maps & Upload PDF Documents",https://ru.wordpress.org/plugins/embedpress/,"EmbedPress lets you embed videos, pages, social feeds, embed PDF 3D flipbooks & other content on WordPress without coding & enhance storytelling.",100 000+ активных установок,6.8.2
Social Значки & Sharing Buttons by WPZOOM,https://ru.wordpress.org/plugins/social-icons-widget-by-wpzoom/,Add social media icons and sharing buttons to your website! Social Значки & Sharing Buttons includes 400+ icons and customizable sharing buttons.,100 000+ активных установок,6.8.2
Hustle — Free Popup Builder & Optin Plugin for Email Marketing & Lead Generation Popups,https://ru.wordpress.org/plugins/wordpress-popup/,"Grow your audience and boost conversions with Hustle. Create beautiful popups, slide-ins and lead gen forms for WordPress. No coding needed.",100 000+ активных установок,6.8.2
Event Tickets and Registration,https://ru.wordpress.org/plugins/event-tickets/,Event Tickets позволяет вашим посетителям регистрироваться и покупать билеты на мероприятия на вашем сайте. Также работает с Events Calendar (календарь мероприятий).,90 000+ активных установок,6.8.2
